commentId,ticket,text,author,dateTime
C550000000,I'm also having this issue.,STU0000023,T000000012,2017-11-13 11:55.000
C550000001,Please try updating your drivers and let me know if that fixes the problem.,STU0000050,T000000013,2017-10-30 20:47.000
C550000002,Have you tried refreshing your web browser?,STU0000042,T000000029,2017-11-14 11:42.000
C550000003,Have you tried doing a hard reset on the system?,STU0000038,T000000021,2017-11-22 19:27.000
C550000004,I addressed what I believe to be the issue. Can you test and see if it has been resolved properly?,STU0000008,T000000008,2017-10-13 12:22.000
C550000005,I think this might be a server issue. I'll investigate further and see what I can find.,STU0000042,T000000016,2017-11-20 19:34.000
C550000006,I addressed what I believe to be the issue. Can you test and see if it has been resolved properly?,STU0000040,T000000020,2017-10-14 18:46.000
C550000007,Have you tried refreshing your web browser?,STU0000018,T000000002,2017-10-30 14:49.000
C550000008,Could this be caused by a similar issue to ticket T100000094?,STU0000044,T000000020,2017-11-21 15:41.000
C550000009,I've paused all active jobs on this printer until this gets resolved.,STU0000038,T000000016,2017-11-15 16:25.000
C550000010,Have you tried refreshing your web browser?,STU0000032,T000000009,2017-10-21 20:55.000
C550000011,Have you tried refreshing your web browser?,STU0000027,T000000022,2017-10-20 12:59.000
C550000012,Please try updating your drivers and let me know if that fixes the problem.,STU0000016,T000000017,2017-11-30 18:45.000
C550000013,Have you tried doing a hard reset on the system?,STU0000020,T000000002,2017-10-11 15:28.000
C550000014,I've paused all active jobs on this printer until this gets resolved.,STU0000008,T000000019,2017-10-16 14:21.000
C550000015,I addressed what I believe to be the issue. Can you test and see if it has been resolved properly?,STU0000029,T000000015,2017-11-30 18:25.000
C550000016,Could this be caused by a similar issue to ticket T100000094?,STU0000025,T000000009,2017-10-14 12:53.000
C550000017,I addressed what I believe to be the issue. Can you test and see if it has been resolved properly?,STU0000035,T000000026,2017-10-24 16:19.000
C550000018,Please try updating your drivers and let me know if that fixes the problem.,STU0000036,T000000015,2017-11-11 10:57.000
C550000019,Could this be due to a lack of compatiblility between the printers and the new laptop?,STU0000028,T000000001,2017-10-20 15:15.000
C550000020,I'm also having this issue.,STU0000013,T000000025,2017-10-20 20:26.000
C550000021,I think this might be a server issue. I'll investigate further and see what I can find.,STU0000027,T000000002,2017-10-13 17:11.000
C550000022,Have you tried doing a hard reset on the system?,STU0000018,T000000014,2017-10-18 23:51.000
C550000023,Please try updating your drivers and let me know if that fixes the problem.,STU0000004,T000000009,2017-10-24 22:38.000
C550000024,Have you tried doing a hard reset on the system?,STU0000028,T000000005,2017-10-22 18:39.000
C550000025,Could this be caused by a similar issue to ticket T100000094?,STU0000032,T000000004,2017-11-25 10:56.000
C550000026,Could this be due to a lack of compatiblility between the printers and the new laptop?,STU0000030,T000000001,2017-10-22 12:38.000
C550000027,Could this be caused by a similar issue to ticket T100000094?,STU0000004,T000000003,2017-11-20 10:53.000
C550000028,I addressed what I believe to be the issue. Can you test and see if it has been resolved properly?,STU0000036,T000000012,2017-10-23 16:41.000
C550000029,I've paused all active jobs on this printer until this gets resolved.,STU0000001,T000000024,2017-10-14 16:40.000
C550000030,Could this be due to a lack of compatiblility between the printers and the new laptop?,STU0000050,T000000003,2017-10-16 11:17.000
C550000031,Could this be due to a lack of compatiblility between the printers and the new laptop?,STU0000029,T000000003,2017-11-28 15:39.000
C550000032,Have you tried refreshing your web browser?,STU0000046,T000000013,2017-10-27 16:11.000
C550000033,Have you tried refreshing your web browser?,STU0000029,T000000021,2017-10-22 11:55.000
C550000034,Could this be due to a lack of compatiblility between the printers and the new laptop?,STU0000046,T000000018,2017-10-22 18:44.000
C550000035,I'm also having this issue.,STU0000008,T000000007,2017-10-24 12:34.000
C550000036,Could this be caused by a similar issue to ticket T100000094?,STU0000005,T000000027,2017-10-26 10:58.000
C550000037,I addressed what I believe to be the issue. Can you test and see if it has been resolved properly?,STU0000029,T000000023,2017-10-17 14:36.000
C550000038,I addressed what I believe to be the issue. Can you test and see if it has been resolved properly?,STU0000046,T000000022,2017-10-14 17:22.000
C550000039,I think this might be a server issue. I'll investigate further and see what I can find.,STU0000015,T000000012,2017-10-17 11:53.000
C550000040,I'm also having this issue.,STU0000047,T000000025,2017-11-28 17:32.000
C550000041,Have you tried doing a hard reset on the system?,STU0000015,T000000024,2017-11-22 20:13.000
C550000042,I'm also having this issue.,STU0000034,T000000005,2017-10-21 12:17.000
C550000043,Could this be due to a lack of compatiblility between the printers and the new laptop?,STU0000036,T000000021,2017-11-17 16:47.000
C550000044,Have you tried refreshing your web browser?,STU0000003,T000000009,2017-10-14 15:50.000
